# Four contributions to Neutrino flux [1/(cm^2 s MeV)]
# arxiv:1604.03858
# Fig. 1 (left) manually digitized with engauge digitizer 10.11 by Adrian Reich 10.12.18
# part 1 of 2
#
# neutrino energy[MeV]	pp hep 8B 13N
0.10165	6.256e+10	0.3409	1176.3	2.511e+07
0.10222	6.317e+10	0.3447	1189.1	2.537e+07
0.11112	7.303e+10	0.4084	1400.00	2.968e+07
0.1115	7.345e+10	0.4112	1409.00	2.987e+07
0.13911	1.0536e+11	0.6434	2169.00	4.515e+07
0.16485	1.346e+11	0.9041	2998.00	6.171e+07
0.18906	1.614e+11	1.1852	3864.00	7.897e+07
0.19731	1.704e+11	1.289	4175.00	8.517e+07
0.2028	1.762e+11	1.36	4387.00	8.937e+07
0.24537	2.151e+11	1.969	6128.00	1.2324e+08
0.26052	2.246e+11	2.211	6794.00	1.356e+08
0.33482	2.407e+11	3.6	10418.00	1.959e+08
0.34182	2.389e+11	3.749	10793.00	2.015e+08
0.36889	2.165e+11	4.36	12303.00	2.228e+08
0.37386	2.076e+11	4.478	12592.00	2.267e+08
0.38218	1.871e+11	4.679	1.308e+04	2.332e+08
0.40198	1.406e+11	5.181	1.43e+04	2.484e+08
0.41839	8.53e+10	5.618	1.537e+04	2.609e+08
0.42016	5.261e+10	5.667	1.548e+04	2.622e+08
0.42729	0.00010173	5.864	1.596e+04	2.676e+08
0.54724	0.00	9.651	2.547e+04	3.522e+08
0.55461	0.00	9.91	2.613e+04	3.569e+08
0.6172	0.00	12.224	3.202e+04	3.938e+08
0.8536	0.00	22.7	5.81e+04	4.205e+08
0.9921	0.00	30.04	7.562e+04	3.411e+08
1.0156	0.00	31.37	7.872e+04	3.2e+08
1.0607	0.00	33.99	8.478e+04	2.717e+08
1.1844	0.00	41.62	1.0205e+05	7.561e+07
1.1963	0.00	42.39	1.0377e+05	4.061e+07
1.2003	0.00	42.65	1.0434e+05	1.925e+04
1.2043	0.00	42.91	1.0492e+05	1.925e+04
2.1687	0.00	125.2	2.647e+05	0.00
2.2726	0.00	136.3	2.836e+05	0.00
3.9581	0.00	347.9	5.782e+05	0.00
4.2458	0.00	383.7	6.182e+05	0.00
6.362	0.00	622.1	7.639e+05	0.00
7.321	0.00	710.7	7.512e+05	0.00
7.853	0.00	751.3	7.164e+05	0.00
9.565	0.00	814.3	5.102e+05	0.00
10.399	0.00	796.8	3.7e+05	0.00
11.381	0.00	742.7	2.346e+05	0.00
12.623	0.00	646.3	9.629e+04	0.00
12.75	0.00	635.5	8.272e+04	0.00
13.954	0.00	511.4	1.314e+04	0.00
14.332	0.00	459.8	5211.00	0.00
14.672	0.00	412.8	1653.00	0.00
15.686	0.00	282.00	26.59	0.00
16.382	0.00	204.7	0.0194	0.00
16.548	0.00	187.9	0.00011807	0.00
18.232	0.00	27.48	1.784e-13	0.00
18.663	0.00	0.1543	6.129e-15	0.00
18.726	0.00	0.00011251	3.818e-15	0.00
